epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1084.57,1.14346,1.3734,1.3876,0.63016,0.56009,0.58483,0.40505,1.16306,1.33967,1.49323,0.009505,0.009505,0.009505
17,1153.92,1.14861,1.37118,1.39527,0.68225,0.62397,0.65554,0.46016,1.09785,1.15446,1.42905,0.009472,0.009472,0.009472
18,1223.09,1.14127,1.34452,1.37823,0.73433,0.5559,0.62649,0.44747,1.11667,1.21617,1.44256,0.009439,0.009439,0.009439
19,1292.61,1.12251,1.3136,1.37262,0.72348,0.5878,0.63649,0.45274,1.07159,1.17604,1.40808,0.009406,0.009406,0.009406
20,1361.61,1.11269,1.29419,1.36868,0.67247,0.59554,0.6031,0.42478,1.11502,1.21178,1.44747,0.009373,0.009373,0.009373
21,1430.16,1.11344,1.28284,1.3582,0.66029,0.58844,0.60642,0.42818,1.08757,1.24747,1.4224,0.00934,0.00934,0.00934
22,1499.62,1.10615,1.24983,1.35578,0.69424,0.56784,0.61193,0.4307,1.08946,1.21907,1.42998,0.009307,0.009307,0.009307
23,1569.44,1.10623,1.23606,1.35972,0.665,0.59251,0.64619,0.46543,1.07112,1.15473,1.40415,0.009274,0.009274,0.009274
24,1639.83,1.09407,1.22867,1.35418,0.70651,0.58425,0.63394,0.45297,1.08126,1.13799,1.40794,0.009241,0.009241,0.009241
25,1710.16,1.07575,1.2167,1.34603,0.71758,0.56949,0.62906,0.44565,1.08045,1.18597,1.40985,0.009208,0.009208,0.009208
26,1780.12,1.08462,1.20308,1.34655,0.7086,0.60827,0.64964,0.46649,1.05497,1.10567,1.39229,0.009175,0.009175,0.009175
27,1850.41,1.09377,1.20276,1.34654,0.70903,0.6212,0.66414,0.47671,1.07736,1.07072,1.40468,0.009142,0.009142,0.009142
28,1919.9,1.09324,1.21019,1.34576,0.72964,0.62698,0.68107,0.49186,1.05548,1.06935,1.38532,0.009109,0.009109,0.009109
29,1990.25,1.06483,1.17768,1.33943,0.72308,0.62306,0.67218,0.49055,1.05299,1.04514,1.38764,0.009076,0.009076,0.009076
30,2059.7,1.07843,1.16121,1.33133,0.74347,0.60857,0.67386,0.48998,1.03925,1.06972,1.37158,0.009043,0.009043,0.009043
31,2130.09,1.0874,1.15593,1.33764,0.74013,0.59937,0.67041,0.48145,1.04645,1.07581,1.37869,0.00901,0.00901,0.00901
32,2200.25,1.07125,1.12578,1.33202,0.74536,0.6232,0.6761,0.48388,1.06291,1.05792,1.38649,0.008977,0.008977,0.008977
33,2269.85,1.05718,1.14382,1.329,0.71032,0.60505,0.66021,0.47961,1.04773,1.08469,1.37224,0.008944,0.008944,0.008944
34,2341.15,1.06903,1.13727,1.33603,0.70479,0.62928,0.66389,0.48695,1.0432,1.05743,1.35519,0.008911,0.008911,0.008911
35,2411.43,1.03832,1.11704,1.31767,0.69172,0.62156,0.66047,0.48082,1.03277,1.09733,1.36158,0.008878,0.008878,0.008878
36,2483.13,1.05632,1.12751,1.32229,0.74747,0.63953,0.69761,0.50268,1.02988,0.99226,1.36243,0.008845,0.008845,0.008845
37,2554.05,1.04903,1.10502,1.32448,0.71388,0.63067,0.68088,0.49988,1.03742,1.03948,1.36375,0.008812,0.008812,0.008812
38,2623.91,1.04143,1.08636,1.31756,0.66942,0.61345,0.66124,0.48431,1.03558,1.04716,1.36111,0.008779,0.008779,0.008779
39,2694.59,1.04525,1.0815,1.31639,0.74307,0.66162,0.71122,0.52464,1.00611,0.98624,1.34254,0.008746,0.008746,0.008746
40,2765.9,1.04509,1.081,1.31447,0.73872,0.6418,0.68709,0.49878,1.00888,0.99838,1.34523,0.008713,0.008713,0.008713
41,2838.33,1.0381,1.05814,1.31108,0.76371,0.62096,0.68343,0.49963,1.01954,0.99626,1.35527,0.00868,0.00868,0.00868
42,2910.79,1.04954,1.07954,1.31134,0.77441,0.64131,0.70149,0.51751,1.01347,0.987,1.34183,0.008647,0.008647,0.008647
