epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5160.76,0.85319,0.69369,1.17893,0.80526,0.68454,0.76197,0.57148,0.95788,0.83332,1.29031,0.000230991,0.000230991,0.000230991
75,5229.35,0.84958,0.67875,1.17079,0.77371,0.71879,0.75388,0.57132,0.95765,0.84822,1.28146,0.000222744,0.000222744,0.000222744
76,5297.47,0.84248,0.67608,1.17755,0.78675,0.70853,0.75272,0.5701,0.96165,0.83868,1.29143,0.000214497,0.000214497,0.000214497
77,5364.82,0.83141,0.66391,1.17233,0.78059,0.70731,0.75219,0.5658,0.95142,0.85312,1.28175,0.000206251,0.000206251,0.000206251
78,5430.65,0.85463,0.6683,1.17946,0.81099,0.68682,0.75305,0.57179,0.95414,0.84869,1.28567,0.000198004,0.000198004,0.000198004
79,5499.29,0.86252,0.67497,1.17527,0.7861,0.71039,0.75315,0.56559,0.95854,0.85084,1.28801,0.000189757,0.000189757,0.000189757
80,5567.47,0.83987,0.65074,1.16735,0.8274,0.6834,0.75647,0.56855,0.9593,0.85796,1.28114,0.000181511,0.000181511,0.000181511
81,5635.81,0.83134,0.64728,1.15935,0.79286,0.70107,0.75288,0.57281,0.95243,0.84782,1.28232,0.000173264,0.000173264,0.000173264
82,5704.46,0.83768,0.65331,1.16749,0.81308,0.68409,0.74437,0.56493,0.96381,0.85394,1.28833,0.000165017,0.000165017,0.000165017
83,5773.79,0.84199,0.64842,1.16284,0.76911,0.70713,0.74641,0.56583,0.96163,0.86123,1.28394,0.000156771,0.000156771,0.000156771
84,5889.28,0.82539,0.63863,1.1619,0.79987,0.71596,0.75332,0.56999,0.95785,0.83869,1.28295,0.000148524,0.000148524,0.000148524
85,5960.38,0.82366,0.63966,1.1612,0.79753,0.7043,0.74874,0.56866,0.95986,0.86096,1.28534,0.000140277,0.000140277,0.000140277
86,6029.56,0.83493,0.64539,1.16158,0.79213,0.70147,0.74426,0.56383,0.95794,0.86027,1.28651,0.000132031,0.000132031,0.000132031
87,6098.88,0.83109,0.64169,1.15835,0.79684,0.70269,0.74603,0.56597,0.96856,0.85743,1.29326,0.000123784,0.000123784,0.000123784
88,6174.96,0.81659,0.62992,1.15789,0.79527,0.69397,0.74528,0.56393,0.96321,0.84885,1.29031,0.000115537,0.000115537,0.000115537
89,6243.81,0.82029,0.62973,1.15675,0.78565,0.69647,0.74793,0.56465,0.96054,0.8473,1.28669,0.00010729,0.00010729,0.00010729
90,6313.08,0.80194,0.6172,1.14848,0.79095,0.68622,0.74716,0.56587,0.96188,0.84755,1.28709,9.90437e-05,9.90437e-05,9.90437e-05
91,6399.01,0.76334,0.53523,1.15108,0.76769,0.70473,0.73725,0.55915,0.96393,0.85399,1.29006,9.0797e-05,9.0797e-05,9.0797e-05
92,6462.11,0.74696,0.51573,1.1374,0.76903,0.71198,0.74074,0.56017,0.96434,0.85441,1.29177,8.25503e-05,8.25503e-05,8.25503e-05
93,6526.63,0.74727,0.50677,1.1371,0.79516,0.69991,0.74232,0.56361,0.95936,0.85661,1.28737,7.43036e-05,7.43036e-05,7.43036e-05
94,6593.41,0.73647,0.49928,1.12731,0.77153,0.7091,0.74071,0.5607,0.96088,0.85714,1.2912,6.60569e-05,6.60569e-05,6.60569e-05
95,6660.8,0.73203,0.48651,1.12223,0.77556,0.71275,0.74165,0.55964,0.95818,0.85128,1.291,5.78102e-05,5.78102e-05,5.78102e-05
96,6727.75,0.73929,0.49143,1.11836,0.77489,0.7168,0.74164,0.5605,0.96144,0.85704,1.29188,4.95635e-05,4.95635e-05,4.95635e-05
97,6794.73,0.7212,0.48425,1.11415,0.77905,0.7054,0.74314,0.56219,0.9578,0.85475,1.2934,4.13168e-05,4.13168e-05,4.13168e-05
98,6862.1,0.72439,0.47897,1.11379,0.7749,0.70764,0.74388,0.56189,0.95849,0.853,1.29137,3.30701e-05,3.30701e-05,3.30701e-05
99,6928.65,0.72907,0.4776,1.11239,0.76963,0.71303,0.74361,0.56255,0.9591,0.85701,1.29056,2.48234e-05,2.48234e-05,2.48234e-05
100,6996.88,0.72016,0.47175,1.1118,0.76704,0.7154,0.74375,0.56036,0.96038,0.85809,1.29075,1.65767e-05,1.65767e-05,1.65767e-05
